timestamp,open,high,low,close,volume
2025-10-22T08:42:00+00:00,92.52,92.55,92.51,92.54,333.988
2025-10-22T08:43:00+00:00,92.54,92.55,92.51,92.54,691.500
2025-10-22T08:44:00+00:00,92.55,92.59,92.54,92.58,937.085
2025-10-22T08:45:00+00:00,92.58,92.64,92.56,92.61,1082.626
2025-10-22T08:46:00+00:00,92.62,92.62,92.52,92.53,664.763
2025-10-22T08:47:00+00:00,92.52,92.52,92.41,92.41,369.619
2025-10-22T08:48:00+00:00,92.42,92.42,92.41,92.42,77.883
2025-10-22T08:49:00+00:00,92.42,92.45,92.41,92.45,424.586
2025-10-22T08:50:00+00:00,92.45,92.49,92.45,92.49,143.604
2025-10-22T08:51:00+00:00,92.49,92.49,92.42,92.44,1186.240
2025-10-22T08:52:00+00:00,92.44,92.44,92.40,92.40,591.029
2025-10-22T08:53:00+00:00,92.41,92.41,92.28,92.29,5616.338
2025-10-22T08:54:00+00:00,92.28,92.34,92.28,92.33,1931.361
2025-10-22T08:55:00+00:00,92.34,92.37,92.33,92.34,611.185
2025-10-22T08:56:00+00:00,92.34,92.43,92.34,92.39,1286.386
2025-10-22T08:57:00+00:00,92.40,92.40,92.33,92.36,464.910
2025-10-22T08:58:00+00:00,92.35,92.37,92.34,92.34,381.405
2025-10-22T08:59:00+00:00,92.35,92.37,92.33,92.34,857.156
2025-10-22T09:00:00+00:00,92.35,92.36,92.31,92.31,400.561
2025-10-22T09:01:00+00:00,92.32,92.40,92.32,92.40,1931.724
2025-10-22T09:02:00+00:00,92.40,92.40,92.32,92.36,968.794
2025-10-22T09:03:00+00:00,92.36,92.41,92.35,92.40,1071.008
2025-10-22T09:04:00+00:00,92.40,92.42,92.36,92.37,1516.950
2025-10-22T09:05:00+00:00,92.37,92.37,92.26,92.27,1524.560
2025-10-22T09:06:00+00:00,92.28,92.28,92.15,92.16,4417.037
2025-10-22T09:07:00+00:00,92.17,92.18,92.05,92.08,3484.783
2025-10-22T09:08:00+00:00,92.09,92.15,92.07,92.15,1391.320
2025-10-22T09:09:00+00:00,92.15,92.25,92.14,92.18,3756.889
2025-10-22T09:10:00+00:00,92.17,92.17,92.09,92.11,1216.865
2025-10-22T09:11:00+00:00,92.11,92.17,92.09,92.12,962.200
2025-10-22T09:12:00+00:00,92.12,92.12,91.98,92.07,3936.399
2025-10-22T09:13:00+00:00,92.07,92.07,92.00,92.05,970.630
2025-10-22T09:14:00+00:00,92.05,92.05,91.95,91.97,888.601
2025-10-22T09:15:00+00:00,91.98,92.00,91.95,91.97,2667.737
