timestamp,open,high,low,close,volume
2023-01-23T00:00:00+00:00,1628.13,1630.97,1626.38,1628.26,27072.992
2023-01-23T00:15:00+00:00,1628.26,1636.35,1627.30,1635.71,47077.321
2023-01-23T00:30:00+00:00,1635.71,1639.35,1634.88,1638.99,35537.252
2023-01-23T00:45:00+00:00,1638.99,1640.00,1635.66,1636.41,23607.378
2023-01-23T01:00:00+00:00,1636.41,1643.21,1636.39,1641.55,31904.491
2023-01-23T01:15:00+00:00,1641.55,1642.05,1637.80,1641.00,22541.959
2023-01-23T01:30:00+00:00,1641.00,1642.67,1637.83,1639.67,20450.206
2023-01-23T01:45:00+00:00,1639.68,1640.84,1636.40,1636.83,20648.443
2023-01-23T02:00:00+00:00,1636.84,1640.67,1636.84,1639.28,19298.858
2023-01-23T02:15:00+00:00,1639.28,1641.44,1637.90,1640.00,13456.678
2023-01-23T02:30:00+00:00,1640.00,1640.57,1637.11,1638.29,10106.425
2023-01-23T02:45:00+00:00,1638.29,1642.00,1637.48,1641.95,14497.004
2023-01-23T03:00:00+00:00,1641.95,1644.29,1640.55,1640.68,23183.189
2023-01-23T03:15:00+00:00,1640.68,1640.68,1633.66,1636.89,24832.092
2023-01-23T03:30:00+00:00,1636.88,1637.49,1628.12,1634.54,47730.238
2023-01-23T03:45:00+00:00,1634.55,1635.15,1630.35,1631.25,20626.089
2023-01-23T04:00:00+00:00,1631.26,1633.23,1630.45,1633.23,14802.485
2023-01-23T04:15:00+00:00,1633.23,1633.58,1629.21,1631.35,16924.686
2023-01-23T04:30:00+00:00,1631.36,1636.77,1630.68,1634.17,18434.217
2023-01-23T04:45:00+00:00,1634.18,1637.27,1634.08,1637.27,19615.211
2023-01-23T05:00:00+00:00,1637.26,1637.88,1634.92,1635.58,18264.038
2023-01-23T05:15:00+00:00,1635.58,1635.67,1633.43,1635.37,10245.070
2023-01-23T05:30:00+00:00,1635.38,1635.87,1631.92,1634.82,14684.190
2023-01-23T05:45:00+00:00,1634.81,1635.36,1631.97,1633.05,9734.905
2023-01-23T06:00:00+00:00,1633.05,1636.10,1631.64,1635.45,13559.207
2023-01-23T06:15:00+00:00,1635.46,1636.97,1634.44,1634.85,11360.417
2023-01-23T06:30:00+00:00,1634.86,1638.00,1633.76,1636.81,13773.747
2023-01-23T06:45:00+00:00,1636.80,1638.65,1636.30,1637.75,14077.587
2023-01-23T07:00:00+00:00,1637.75,1638.74,1636.07,1636.21,17884.880
2023-01-23T07:15:00+00:00,1636.22,1637.80,1628.02,1632.54,43398.506
2023-01-23T07:30:00+00:00,1632.53,1638.46,1630.53,1636.25,36148.090
2023-01-23T07:45:00+00:00,1636.26,1637.11,1633.06,1634.04,16786.901
2023-01-23T08:00:00+00:00,1634.03,1638.72,1633.11,1637.75,33582.769
2023-01-23T08:15:00+00:00,1637.75,1640.56,1633.15,1633.37,32282.026
2023-01-23T08:30:00+00:00,1633.38,1634.65,1631.34,1634.65,23963.609
2023-01-23T08:45:00+00:00,1634.65,1634.88,1632.00,1632.31,12016.751
2023-01-23T09:00:00+00:00,1632.31,1633.74,1631.59,1633.46,15606.710
2023-01-23T09:15:00+00:00,1633.47,1634.85,1630.77,1634.85,21093.075
2023-01-23T09:30:00+00:00,1634.85,1635.48,1633.63,1634.07,12426.172
2023-01-23T09:45:00+00:00,1634.08,1635.87,1632.82,1635.50,8413.015
2023-01-23T10:00:00+00:00,1635.50,1639.27,1633.93,1636.38,33595.627
2023-01-23T10:15:00+00:00,1636.39,1640.14,1634.20,1637.44,36438.509
2023-01-23T10:30:00+00:00,1637.45,1639.58,1637.11,1638.98,21141.463
2023-01-23T10:45:00+00:00,1638.99,1640.53,1637.39,1637.61,21797.239
2023-01-23T11:00:00+00:00,1637.62,1638.44,1634.14,1637.12,29199.577
2023-01-23T11:15:00+00:00,1637.13,1638.66,1633.44,1634.38,19251.767
2023-01-23T11:30:00+00:00,1634.44,1637.84,1634.44,1636.58,14924.630
2023-01-23T11:45:00+00:00,1636.59,1637.66,1634.80,1637.11,18520.949
2023-01-23T12:00:00+00:00,1637.10,1638.31,1630.10,1633.64,49682.204
2023-01-23T12:15:00+00:00,1633.65,1636.03,1632.56,1633.18,19100.261
2023-01-23T12:30:00+00:00,1633.17,1636.77,1632.21,1636.31,21614.168
2023-01-23T12:45:00+00:00,1636.32,1640.00,1634.87,1635.90,42256.221
2023-01-23T13:00:00+00:00,1635.91,1637.22,1626.00,1632.00,62156.147
2023-01-23T13:15:00+00:00,1632.01,1634.58,1628.07,1629.80,46535.069
2023-01-23T13:30:00+00:00,1629.81,1631.92,1627.46,1631.27,36572.003
2023-01-23T13:45:00+00:00,1631.24,1631.50,1613.41,1622.83,144798.006
2023-01-23T14:00:00+00:00,1622.83,1625.50,1612.47,1617.80,82480.324
2023-01-23T14:15:00+00:00,1617.81,1623.58,1614.14,1622.52,63221.710
2023-01-23T14:30:00+00:00,1622.52,1625.46,1617.51,1624.04,72668.316
2023-01-23T14:45:00+00:00,1624.03,1650.00,1585.21,1598.95,477425.723
2023-01-23T15:00:00+00:00,1598.79,1620.00,1593.99,1616.46,254880.192
2023-01-23T15:15:00+00:00,1616.45,1623.53,1614.00,1621.71,88742.374
2023-01-23T15:30:00+00:00,1621.70,1626.99,1617.51,1622.27,91397.800
2023-01-23T15:45:00+00:00,1622.28,1626.97,1619.07,1620.92,59201.966
2023-01-23T16:00:00+00:00,1620.93,1626.00,1620.93,1621.30,42195.720
2023-01-23T16:15:00+00:00,1621.30,1624.37,1612.88,1613.92,74176.060
2023-01-23T16:30:00+00:00,1613.92,1618.99,1612.39,1617.46,47539.363
2023-01-23T16:45:00+00:00,1617.45,1622.34,1616.77,1620.33,32754.221
2023-01-23T17:00:00+00:00,1620.34,1620.34,1615.56,1618.22,30835.937
2023-01-23T17:15:00+00:00,1618.22,1621.04,1616.81,1619.32,28072.675
2023-01-23T17:30:00+00:00,1619.32,1619.59,1615.64,1617.56,26517.041
2023-01-23T17:45:00+00:00,1617.56,1630.00,1615.50,1629.51,75350.667
2023-01-23T18:00:00+00:00,1629.51,1635.84,1626.67,1632.56,93700.487
2023-01-23T18:15:00+00:00,1632.56,1635.66,1630.48,1634.96,57656.316
2023-01-23T18:30:00+00:00,1634.96,1641.25,1632.14,1639.17,72038.266
2023-01-23T18:45:00+00:00,1639.17,1639.67,1627.86,1629.41,64601.084
2023-01-23T19:00:00+00:00,1629.41,1631.14,1620.09,1628.08,80813.913
2023-01-23T19:15:00+00:00,1628.08,1628.78,1621.17,1623.85,36824.968
2023-01-23T19:30:00+00:00,1623.84,1626.25,1613.22,1617.84,82811.833
2023-01-23T19:45:00+00:00,1617.83,1620.57,1609.62,1620.04,80286.697
2023-01-23T20:00:00+00:00,1620.05,1625.97,1618.54,1623.58,46111.742
2023-01-23T20:15:00+00:00,1623.57,1625.70,1620.72,1623.67,27804.200
2023-01-23T20:30:00+00:00,1623.68,1627.80,1621.93,1627.14,26820.348
2023-01-23T20:45:00+00:00,1627.14,1635.90,1626.24,1635.40,44536.351
2023-01-23T21:00:00+00:00,1635.40,1635.99,1631.37,1632.72,36850.714
2023-01-23T21:15:00+00:00,1632.72,1634.00,1630.59,1633.11,14229.896
2023-01-23T21:30:00+00:00,1633.11,1634.60,1632.09,1634.60,12173.706
2023-01-23T21:45:00+00:00,1634.60,1634.74,1629.55,1632.20,17176.518
2023-01-23T22:00:00+00:00,1632.21,1636.92,1631.16,1632.56,28150.245
2023-01-23T22:15:00+00:00,1632.56,1634.89,1632.19,1634.17,12139.435
2023-01-23T22:30:00+00:00,1634.17,1634.95,1629.62,1630.15,12990.470
2023-01-23T22:45:00+00:00,1630.16,1632.50,1622.34,1628.19,31393.561
2023-01-23T23:00:00+00:00,1628.19,1630.77,1626.52,1628.38,19015.604
2023-01-23T23:15:00+00:00,1628.38,1630.54,1625.01,1629.04,22057.342
2023-01-23T23:30:00+00:00,1629.04,1631.34,1625.58,1627.92,18108.309
