timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-10-03T09:35:00+00:00,BTCUSDT@5m-LONG-2025-10-03T09:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,71,120186.045,121628.27754,0.0,0.012,0.0,,True
2025-10-03T09:40:00+00:00,BTCUSDT@5m-LONG-2025-10-03T09:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,70,120199.74910999999,121642.14609931999,0.0,0.012,0.0,,True
2025-10-03T09:45:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T09:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,BET,LOSS,SL,66,120217.2910058096,121179.02933385607,-0.05466686803535153,-0.008,0.005466686803535153,1001.1959,False
2025-10-03T09:50:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T09:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,BET,LOSS,SL,65,120250.68064345833,121212.68608860599,-0.05466686803535153,-0.008,0.005466686803535153,1001.1395,False
2025-10-03T09:55:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T09:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,64,120221.72266000001,121183.49644128002,0.0,-0.008,0.0,,True
2025-10-03T10:00:00+00:00,BTCUSDT@5m-LONG-2025-10-03T10:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,66,120291.0765,121734.569418,0.0,0.012,0.0,,True
2025-10-03T10:05:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T10:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,62,120250.31408,121212.31659264,0.0,-0.008,0.0,,True
2025-10-03T10:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T10:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,61,120268.80853,121230.95899823999,0.0,-0.008,0.0,,True
2025-10-03T10:15:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T10:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,BET,LOSS,SL,61,120390.93711537804,121354.06461230107,-0.05466686803535153,-0.008,0.005466686803535153,1001.0829,False
2025-10-03T10:40:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T10:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,56,120416.36425,121379.695164,0.0,-0.008,0.0,,True
