funding_time,funding_time_ms,funding_rate,mark_price
2025-09-01T16:00:00.001000+00:00,1756742400001,0.00010000,109.49460294
2025-09-02T00:00:00+00:00,1756771200000,0.00005247,108.68000000
2025-09-02T08:00:00.005000+00:00,1756800000005,0.00004923,110.54466176
2025-09-02T16:00:00.007000+00:00,1756828800007,0.00008823,109.53000000
2025-09-03T00:00:00.006000+00:00,1756857600006,0.00002044,111.69474020
2025-09-03T08:00:00.002000+00:00,1756886400002,0.00010000,111.71000000
2025-09-03T16:00:00.002000+00:00,1756915200002,0.00010000,112.80590196
2025-09-04T00:00:00.002000+00:00,1756944000002,0.00010000,112.94000000
2025-09-04T08:00:00+00:00,1756972800000,0.00005075,111.30406780
2025-09-04T16:00:00+00:00,1757001600000,0.00006087,109.99458824
2025-09-05T00:00:00.001000+00:00,1757030400001,-0.00001689,111.00000000
2025-09-05T08:00:00.006000+00:00,1757059200006,0.00010000,113.13237745
2025-09-05T16:00:00+00:00,1757088000000,0.00010000,112.30000000
2025-09-06T00:00:00+00:00,1757116800000,0.00010000,112.01000000
2025-09-06T08:00:00.005000+00:00,1757145600005,0.00005491,111.67000000
2025-09-06T16:00:00+00:00,1757174400000,0.00003452,111.40000000
2025-09-07T00:00:00+00:00,1757203200000,0.00010000,112.07000000
2025-09-07T08:00:00+00:00,1757232000000,0.00010000,113.73365686
2025-09-07T16:00:00+00:00,1757260800000,0.00010000,114.67000000
2025-09-08T00:00:00.007000+00:00,1757289600007,0.00010000,114.86000000
2025-09-08T08:00:00+00:00,1757318400000,-0.00004876,112.80000000
2025-09-08T16:00:00+00:00,1757347200000,-0.00004528,113.39000000
2025-09-09T00:00:00+00:00,1757376000000,-0.00004493,112.69029902
2025-09-09T08:00:00+00:00,1757404800000,0.00010000,113.98689216
2025-09-09T16:00:00+00:00,1757433600000,0.00009906,111.28980392
2025-09-10T00:00:00+00:00,1757462400000,-0.00003953,111.88000000
2025-09-10T08:00:00.002000+00:00,1757491200002,0.00009253,113.09751961
2025-09-10T16:00:00+00:00,1757520000000,0.00010000,114.30000000
2025-09-11T00:00:00+00:00,1757548800000,0.00010000,117.61000000
2025-09-11T08:00:00+00:00,1757577600000,0.00010000,117.21000000
2025-09-11T16:00:00.001000+00:00,1757606400001,0.00004416,113.83025980
2025-09-12T00:00:00.002000+00:00,1757635200002,-0.00000099,115.77097549
2025-09-12T08:00:00.001000+00:00,1757664000001,0.00010000,115.68000000
2025-09-12T16:00:00.005000+00:00,1757692800005,0.00009790,116.48000000
2025-09-13T00:00:00.005000+00:00,1757721600005,0.00010000,117.98000000
2025-09-13T08:00:00.002000+00:00,1757750400002,0.00010000,118.73000000
2025-09-13T16:00:00+00:00,1757779200000,0.00010000,119.07314706
2025-09-14T00:00:00.006000+00:00,1757808000006,0.00010000,119.17000000
2025-09-14T08:00:00+00:00,1757836800000,0.00010000,116.72000000
2025-09-14T16:00:00.001000+00:00,1757865600001,-0.00004891,114.68696411
